achka	[achka]	a ch k a
hayka	[hayka]	h a y k a
hina	[hina]	h i n a
hinallataq	[hinallataq]	h i n a ll a t a q
hinallataqmi	[hinallataqmi]	h i n a ll a t a q m i
hinaptinmi	[hinaptinmi]	h i n a p t i n m i
hinaspa	[hinaspa]	h i n a s p a
hinaspam	[hinaspam]	h i n a s p a m
hinaspapas	[hinaspapas]	h i n a s p a p a s
hucha	[hucha]	h u ch a
huchallisqa	[huchallisqa]	h u ch a ll i s al
huchamanta	[huchamanta]	h u ch a m a n t a
huchanmanta	[huchanmanta]	h u ch a n m a n t a
huchayuq	[huchayuq]	h u ch a y ul
huchuy	[huchuy]	h u ch u y
huk	[huk]	h u k
hukaq	[hukaq]	h u k a q
hukniyuq	[hukniyuq]	h u k n i y ul
huntasqa	[huntasqa]	h u n t a s al
huntay	[huntay]	h u n t a y
hurquy	[hurquy]	h u r q u y
hurquyta	[hurquyta]	h u r q u y t a
icha	[icha]	i ch a
ichaqa	[ichaqa]	i ch a al
ima	[ima]	i m a
imanasqa	[imanasqa]	i m a n a s al
imanasqataq	[imanasqataq]	i m a n a s al t a q
imapaqpas	[imapaqpas]	i m a p a q p a s
imapas	[imapas]	i m a p a s
imataq	[imataq]	i m a t a q
imatataq	[imatataq]	i m a t a t a q
imaymana	[imaymana]	i m a y m a n a
imayna	[imayna]	i m a y n a
imaynallam	[imaynallam]	i m a y n a ll a m
imaynallataq	[imaynallataq]	i m a y n a ll a t a q
imaynam	[imaynam]	i m a y n a m
imaynataq	[imaynataq]	i m a y n a t a q
imaynatataq	[imaynatataq]	i m a y n a t a t a q
iskay	[iskay]	i s k a y
iskayniyuq	[iskayniyuq]	i s k a y n i y ul
isqun	[isqun]	i s q u n
isqunniyuq	[isqunniyuq]	i s q u n n i y ul
juntos	[juntos]	j u n t o s
juntosmanta	[juntosmanta]	j u n t o s m a n t a
juntospa	[juntospa]	j u n t o s p a
kachkan	[kachkan]	k a ch k a n
kachkanki	[kachkanki]	k a ch k a n k i
kachun	[kachun]	k a ch u n
kallpawan	[kallpawan]	k a ll p a w a n
kamachi	[kamachi]	k a m a ch i
kamachikuna	[kamachikuna]	k a m a ch i k u n a
kamachiq	[kamachiq]	k a m a ch i q
kamachiqmi	[kamachiqmi]	k a m a ch i q m i
kamachiqpa	[kamachiqpa]	k a m a ch i q p a
kamachiqqa	[kamachiqqa]	k a m a ch i q al
kamachisqa	[kamachisqa]	k a m a ch i s al
kamachisqan	[kamachisqan]	k a m a ch i s al n
kamachisqanman	[kamachisqanman]	k a m a ch i s al n m a n
kamachiy	[kamachiy]	k a m a ch i y
kamay	[kamay]	k a m a y
kamayuq	[kamayuq]	k a m a y ul
kamayuqkuna	[kamayuqkuna]	k a m a y ul k u n a
kan	[kan]	k a n
kanan	[kanan]	k a n a n
kananpaq	[kananpaq]	k a n a n p a q
kani	[kani]	k a n i
kanki	[kanki]	k a n k i
kanku	[kanku]	k a n k u
kanman	[kanman]	k a n m a n
kanqa	[kanqa]	k a n al
kantaqmi	[kantaqmi]	k a n t a q m i
kanxachu	[kanxachu]	k a n x a ch u
kaptin	[kaptin]	k a p t i n
kaptinqa	[kaptinqa]	k a p t i n al
kaq	[kaq]	k a q
kaqllataq	[kaqllataq]	k a q ll a t a q
kaqtin	[kaqtin]	k a q t i n
kaqtinqa	[kaqtinqa]	k a q t i n al
karqa	[karqa]	k a r al
kasan	[kasan]	k a s a n
kaspapas	[kaspapas]	k a s p a p a s
kasqa	[kasqa]	k a s al
kasqan	[kasqan]	k a s al n
kasqanta	[kasqanta]	k a s al n t a
kasqantapas	[kasqantapas]	k a s al n t a p a s
kawsay	[kawsay]	k a w s a y
kawsaykuna	[kawsaykuna]	k a w s a y k u n a
kawsayninta	[kawsayninta]	k a w s a y n i n t a
kawsayniyuq	[kawsayniyuq]	k a w s a y n i y ul
kay	[kay]	k a y
kayhinata	[kayhinata]	k a y h i n a t a
kaykunata	[kaykunata]	k a y k u n a t a
kaynata	[kaynata]	k a y n a t a
kayqa	[kayqa]	k a y al
kayta	[kayta]	k a y t a
kikin	[kikin]	k i k i n
killa	[killa]	k i ll a
killapi	[killapi]	k i ll a p i
kimsa	[kimsa]	k i m s a
kimsayuq	[kimsayuq]	k i m s a y ul
kirisqa	[kirisqa]	k i r i s al
kunan	[kunan]	k u n a n
kunanqa	[kunanqa]	k u n a n al
kunanri	[kunanri]	k u n a n r i
kuska	[kuska]	k u s k a
kuti	[kuti]	k u t i
kutichinqa	[kutichinqa]	k u t i ch i n al
llamkaniku	[llamkaniku]	ll a m k a n i k u
llamkay	[llamkay]	ll a m k a y
llamkayta	[llamkayta]	ll a m k a y t a
llapa	[llapa]	ll a p a
llapallan	[llapallan]	ll a p a ll a n
llapan	[llapan]	ll a p a n
llaqta	[llaqta]	ll a q t a
llaqtakunapa	[llaqtakunapa]	ll a q t a k u n a p a
llaqtakunapi	[llaqtakunapi]	ll a q t a k u n a p i
lliw	[lliw]	ll i w
llulla	[llulla]	ll u ll a
llullakuspa	[llullakuspa]	ll u ll a k u s p a
llumpay	[llumpay]	ll u m p a y
machu	[machu]	m a ch u
mama	[mama]	m a m a
mamay	[mamay]	m a m a y
mana	[mana]	m a n a
manachu	[manachu]	m a n a ch u
manam	[manam]	m a n a m
manan	[manan]	m a n a n
manaraq	[manaraq]	m a n a r a q
manataq	[manataq]	m a n a t a q
manaxa	[manaxa]	m a n a x a
manaxam	[manaxam]	m a n a x a m
manaya	[manaya]	m a n a y a
mariaqa	[mariaqa]	m a r i a al
masata	[masata]	m a s a t a
maypim	[maypim]	m a y p i m
maypiraq	[maypiraq]	m a y p i r a q
maypiraqmi	[maypiraqmi]	m a y p i r a q m i
mayqin	[mayqin]	m a y q i n
meike	[meike]	m e i k e
miski	[miski]	m i s k i
muchuchisqa	[muchuchisqa]	m u ch u ch i s al
muchuchiy	[muchuchiy]	m u ch u ch i y
muhuta	[muhuta]	m u h u t a
munani	[munani]	m u n a n i
munanki	[munanki]	m u n a n k i
munanku	[munanku]	m u n a n k u
munaspaqa	[munaspaqa]	m u n a s p a al
munaspayqa	[munaspayqa]	m u n a s p a y al
munayninpi	[munayninpi]	m u n a y n i n p i
nin	[nin]	n i n
niqta	[niqta]	n i q t a
nispa	[nispa]	n i s p a
nispan	[nispan]	n i s p a n
nisqa	[nisqa]	n i s al
nitaq	[nitaq]	n i t a q
pacha	[pacha]	p a ch a
pachak	[pachak]	p a ch a k
pachamamapa	[pachamamapa]	p a ch a m a m a p a
pampapaq	[pampapaq]	p a m p a p a q
papata	[papata]	p a p a t a
papay	[papay]	p a p a y
paqtay	[paqtay]	p a q t a y
pasaq	[pasaq]	p a s a q
pasmin	[pasmin]	p a s m i n
patachu	[patachu]	p a t a ch u
patmi	[patmi]	p a t m i
pay	[pay]	p a y
paykuna	[paykuna]	p a y k u n a
paykunaqa	[paykunaqa]	p a y k u n a al
paymi	[paymi]	p a y m i
pichqa	[pichqa]	p i ch al
pichqayuq	[pichqayuq]	p i ch al y ul
pimanpas	[pimanpas]	p i m a n p a s
pipas	[pipas]	p i p a s
pirwa	[pirwa]	p i r w a
pisqayuq	[pisqayuq]	p i s al y ul
punchaw	[punchaw]	p u n ch a w
punchaypi	[punchaypi]	p u n ch a y p i
pusaq	[pusaq]	p u s a q
pusaqniyuq	[pusaqniyuq]	p u s a q n i y ul
qali	[qali]	al l i
qallarin	[qallarin]	al ll a r i n
qampas	[qampas]	al m p a s
qamqa	[qamqa]	al m al
qanchis	[qanchis]	al n ch i s
qanchisniyuq	[qanchisniyuq]	al n ch i s n i y ul
qanmi	[qanmi]	al n m i
qari	[qari]	al r i
qatuq	[qatuq]	al t ul
qaway	[qaway]	al w a y
qayakuq	[qayakuq]	al y a k ul
qayakuspa	[qayakuspa]	al y a k u s p a
qayakusqan	[qayakusqan]	al y a k u s al n
qayakuy	[qayakuy]	al y a k u y
qichwa	[qichwa]	q i ch w a
qichwasimipi	[qichwasimipi]	q i ch w a s i m i p i
qillqa	[qillqa]	q i ll al
qillqaman	[qillqaman]	q i ll al m a n
qillqana	[qillqana]	q i ll al n a
qillqapi	[qillqapi]	q i ll al p i
qillqaq	[qillqaq]	q i ll al q
qillqaspa	[qillqaspa]	q i ll al s p a
qillqasqa	[qillqasqa]	q i ll al s al
qillqata	[qillqata]	q i ll al t a
qullqi	[qullqi]	q u ll q i
qullqichay	[qullqichay]	q u ll q i ch a y
qullqichayqa	[qullqichayqa]	q u ll q i ch a y al
qullqiki	[qullqiki]	q u ll q i k i
qullqikita	[qullqikita]	q u ll q i k i t a
qullqinpi	[qullqinpi]	q u ll q i n p i
qullqiqa	[qullqiqa]	q u ll q i al
qullqita	[qullqita]	q u ll q i t a
qullqitaqa	[qullqitaqa]	q u ll q i t a al
qullqiykita	[qullqiykita]	q u ll q i y k i t a
qullqiykitaqa	[qullqiykitaqa]	q u ll q i y k i t a al
qullqiyku	[qullqiyku]	q u ll q i y k u
qura	[qura]	q u r a
rayku	[rayku]	r a y k u
rikchaq	[rikchaq]	r i k ch a q
rimana	[rimana]	r i m a n a
rimaspa	[rimaspa]	r i m a s p a
rimaykuna	[rimaykuna]	r i m a y k u n a
rimaynin	[rimaynin]	r i m a y n i n
rimayta	[rimayta]	r i m a y t a
rin	[rin]	r i n
riniku	[riniku]	r i n i k u
riqsichimusqaykichik	[riqsichimusqaykichik]	r i q s i ch i m u s al y k i ch i k
riyta	[riyta]	r i y t a
runa	[runa]	r u n a
runakuna	[runakuna]	r u n a k u n a
runakunam	[runakunam]	r u n a k u n a m
runakunapa	[runakunapa]	r u n a k u n a p a
runakunata	[runakunata]	r u n a k u n a t a
runan	[runan]	r u n a n
runapa	[runapa]	r u n a p a
runata	[runata]	r u n a t a
rurani	[rurani]	r u r a n i
ruranku	[ruranku]	r u r a n k u
rurasun	[rurasun]	r u r a s u n
rurayman	[rurayman]	r u r a y m a n
rurayta	[rurayta]	r u r a y t a
ruway	[ruway]	r u w a y
ruwayninta	[ruwayninta]	r u w a y n i n t a
ruwayta	[ruwayta]	r u w a y t a
sapa	[sapa]	s a p a
sapanchasqa	[sapanchasqa]	s a p a n ch a s al
saqikusaq	[saqikusaq]	s a q i k u s a q
sasachakuy	[sasachakuy]	s a s a ch a k u y
sasam	[sasam]	s a s a m
secretaykita	[secretaykita]	s e c r e t a y k i t a
sichu	[sichu]	s i ch u
sichus	[sichus]	s i ch u s
simi	[simi]	s i m i
simikunapa	[simikunapa]	s i m i k u n a p a
simikunata	[simikunata]	s i m i k u n a t a
siwara	[siwara]	s i w a r a
solesta	[solesta]	s o l e s t a
solista	[solista]	s o l i s t a
sullpayki	[sullpayki]	s u ll p a y k i
sumaq	[sumaq]	s u m a q
sunqu	[sunqu]	s u n q u
suqta	[suqta]	s ul t a
suqtayuq	[suqtayuq]	s ul t a y ul
suyu	[suyu]	s u y u
suyukunapi	[suyukunapi]	s u y u k u n a p i
suyupa	[suyupa]	s u y u p a
suyupi	[suyupi]	s u y u p i
suyupiqa	[suyupiqa]	s u y u p i al
takyasqa	[takyasqa]	t a k y a s al
taqa	[taqa]	t a al
taqikuy	[taqikuy]	t a q i k u y
taqiyqa	[taqiyqa]	t a q i y al
tarpuy	[tarpuy]	t a r p u y
tarpuyta	[tarpuyta]	t a r p u y t a
tawa	[tawa]	t a w a
tawayuq	[tawayuq]	t a w a y ul
tayta	[tayta]	t a y t a
taytay	[taytay]	t a y t a y
tukuy	[tukuy]	t u k u y
tuqriy	[tuqriy]	t ul r i y
tuqyayninmanhina	[tuqyayninmanhina]	t ul y a y n i n m a n h i n a
turu	[turu]	t u r u
ukullapi	[ukullapi]	u k u ll a p i
ukunpi	[ukunpi]	u k u n p i
umalli	[umalli]	u m a ll i
umalliq	[umalliq]	u m a ll i q
urqunapaq	[urqunapaq]	u r q u n a p a q
urqusqaykita	[urqusqaykita]	u r q u s al y k i t a
urquyta	[urquyta]	u r q u y t a
usayta	[usayta]	u s a y t a
usqay	[usqay]	u s al y
usqayllaman	[usqayllaman]	u s al y ll a m a n
utaq	[utaq]	u t a q
utqaylla	[utqaylla]	u t al y ll a
uy	[uy]	u y
uywa	[uywa]	u y w a
uywakunapas	[uywakunapas]	u y w a k u n a p a s
ventanillaman	[ventanillaman]	v e n t a n i ll a m a n
wakin	[wakin]	w a k i n
wakinqa	[wakinqa]	w a k i n al
waqaychakuyman	[waqaychakuyman]	w a al y ch a k u y m a n
waqaychakuyqa	[waqaychakuyqa]	w a al y ch a k u y al
waqaychanayki	[waqaychanayki]	w a al y ch a n a y k i
waqaychaspa	[waqaychaspa]	w a al y ch a s p a
waqaychaspaqa	[waqaychaspaqa]	w a al y ch a s p a al
waqaychasqa	[waqaychasqa]	w a al y ch a s al
waqaychayqa	[waqaychayqa]	w a al y ch a y al
waranqa	[waranqa]	w a r a n al
warma	[warma]	w a r m a
warmi	[warmi]	w a r m i
wasi	[wasi]	w a s i
wasillapi	[wasillapi]	w a s i ll a p i
wasiman	[wasiman]	w a s i m a n
wasimanta	[wasimanta]	w a s i m a n t a
wasipa	[wasipa]	w a s i p a
wasipi	[wasipi]	w a s i p i
wasiq	[wasiq]	w a s i q
wata	[wata]	w a t a
watiqmanta	[watiqmanta]	w a t i q m a n t a
wayta	[wayta]	w a y t a
waytakuna	[waytakuna]	w a y t a k u n a
willakuy	[willakuy]	w i ll a k u y
wixaymi	[wixaymi]	w i x a y m i
wixaypaq	[wixaypaq]	w i x a y p a q
xa	[xa]	x a
xam	[xam]	x a m
xawpa	[xawpa]	x a w p a
xawpaq	[xawpaq]	x a w p a q
xawray	[xawray]	x a w r a y
xiqi	[xiqi]	x i q i
xupunayki	[xupunayki]	x u p u n a y k i
xuqa	[xuqa]	x ul a
xuqapas	[xuqapas]	x ul a p a s
xuqaqa	[xuqaqa]	x ul a al
xuqaykuqa	[xuqaykuqa]	x ul a y k ul a
ya	[ya]	y a
yachakunqa	[yachakunqa]	y a ch a k u n al
yachanichu	[yachanichu]	y a ch a n i ch u
yachanki	[yachanki]	y a ch a n k i
yachasqa	[yachasqa]	y a ch a s al
yachay	[yachay]	y a ch a y
yaku	[yaku]	y a k u
yanapay	[yanapay]	y a n a p a y
yanapayta	[yanapayta]	y a n a p a y t a
yapamanta	[yapamanta]	y a p a m a n t a
yapuyta	[yapuyta]	y a p u y t a
yaqa	[yaqa]	y a al
yay	[yay]	y a y
yupa	[yupa]	y u p a
yuyanki	[yuyanki]	y u y a n k i
yuyariy	[yuyariy]	y u y a r i y
